Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","72","Djibouti","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","65.86","Fc","Calculated data"
"FBS","Food Balance Sheets","72","Djibouti","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","60.13","Fc","Calculated data"
"FBS","Food Balance Sheets","59","Egypt","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","3522","Fc","Calculated data"
"FBS","Food Balance Sheets","59","Egypt","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","103.24","Fc","Calculated data"
"FBS","Food Balance Sheets","59","Egypt","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","63.13","Fc","Calculated data"
"FBS","Food Balance Sheets","238","Ethiopia","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2131","Fc","Calculated data"
"FBS","Food Balance Sheets","238","Ethiopia","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","60.4","Fc","Calculated data"
"FBS","Food Balance Sheets","238","Ethiopia","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","25.93","Fc","Calculated data"
"FBS","Food Balance Sheets","74","Gabon","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2830","Fc","Calculated data"
"FBS","Food Balance Sheets","74","Gabon","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","86.63","Fc","Calculated data"
"FBS","Food Balance Sheets","74","Gabon","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","59.57","Fc","Calculated data"
"FBS","Food Balance Sheets","75","Gambia","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2628","Fc","Calculated data"
"FBS","Food Balance Sheets","75","Gambia","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","61.55","Fc","Calculated data"
"FBS","Food Balance Sheets","75","Gambia","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","71.32","Fc","Calculated data"
"FBS","Food Balance Sheets","81","Ghana","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","3016","Fc","Calculated data"
"FBS","Food Balance Sheets","81","Ghana","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","64.57","Fc","Calculated data"
"FBS","Food Balance Sheets","81","Ghana","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","45.96","Fc","Calculated data"
"FBS","Food Balance Sheets","90","Guinea","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2566","Fc","Calculated data"
"FBS","Food Balance Sheets","90","Guinea","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","55.93","Fc","Calculated data"
"FBS","Food Balance Sheets","90","Guinea","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","61.99","Fc","Calculated data"
"FBS","Food Balance Sheets","175","Guinea-Bissau","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2292","Fc","Calculated data"
"FBS","Food Balance Sheets","175","Guinea-Bissau","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","44.04","Fc","Calculated data"
"FBS","Food Balance Sheets","175","Guinea-Bissau","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","63.5","Fc","Calculated data"
"FBS","Food Balance Sheets","114","Kenya","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2206","Fc","Calculated data"
"FBS","Food Balance Sheets","114","Kenya","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","61.84","Fc","Calculated data"
"FBS","Food Balance Sheets","114","Kenya","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","47.98","Fc","Calculated data"
"FBS","Food Balance Sheets","122","Lesotho","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2529","Fc","Calculated data"
"FBS","Food Balance Sheets","122","Lesotho","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","73.52","Fc","Calculated data"
"FBS","Food Balance Sheets","122","Lesotho","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","32.29","Fc","Calculated data"
"FBS","Food Balance Sheets","123","Liberia","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2204","Fc","Calculated data"
"FBS","Food Balance Sheets","123","Liberia","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","37.66","Fc","Calculated data"
"FBS","Food Balance Sheets","123","Liberia","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","59.86","Fc","Calculated data"
"FBS","Food Balance Sheets","129","Madagascar","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2052","Fc","Calculated data"
"FBS","Food Balance Sheets","129","Madagascar","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","46.67","Fc","Calculated data"
"FBS","Food Balance Sheets","129","Madagascar","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","24.49","Fc","Calculated data"
"FBS","Food Balance Sheets","130","Malawi","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2367","Fc","Calculated data"
"FBS","Food Balance Sheets","130","Malawi","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","64.55","Fc","Calculated data"
"FBS","Food Balance Sheets","130","Malawi","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","41.2","Fc","Calculated data"
"FBS","Food Balance Sheets","133","Mali","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2890","Fc","Calculated data"
"FBS","Food Balance Sheets","133","Mali","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","85.2","Fc","Calculated data"
"FBS","Food Balance Sheets","133","Mali","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","64.19","Fc","Calculated data"
